Size,GFLOPS,Time
1024 , 643.862, 3.33532
2048 , 611.959, 28.0736
3072 , 538.897, 107.594
4096 , 567.21 , 242.307
5120 , 587.517, 456.898
6144 , 666.535, 695.922
7168 , 632.199, 1165.12
8192 , 638.857, 1721.06
9216 , 606.708, 2580.34
10240, 500.442, 4291.17
11264, 425.26 , 6721.3
12288, 413.919, 8965.17
13312, 416.31 , 11333
14336, 403.514, 14603.4
15360, 375.052, 19324.7
16384, 367.193, 23955
