Size,GFLOPS,Time
1024 , 593.67 , 3.6173
2048 , 628.359, 27.3408
3072 , 617.866, 93.8424
4096 , 634.052, 216.763
5120 , 626.716, 428.321
6144 , 659.471, 703.377
7168 , 662.498, 1111.83
8192 , 657.625, 1671.94
9216 , 628.684, 2490.15
10240, 586.915, 3658.94
11264, 547.085, 5224.6
12288, 535.115, 6934.67
13312, 514.722, 9166.16
14336, 516.015, 11419.6
15360, 517.442, 14006.9
16384, 509.859, 17252
